,0,1,2,3,4,5,6,7,8,9
-1,"('tallinn', 0.007045945304340652)","('estonia', 0.006582413477931981)","('day', 0.006045041479876081)","('people', 0.005724855929966449)","('sold', 0.00541844300443479)","('food', 0.005316554499130307)","('expat', 0.0053131626827925636)","('wa', 0.005198256959950512)","('estonian', 0.005176206838260594)","('friend', 0.00489321621966338)"
0,"('apartment', 0.04655230099389626)","('rent', 0.03530827759182996)","('bedroom', 0.02426625898072395)","('utility', 0.023714631796583965)","('month', 0.020621881440319595)","('flat', 0.018395304952993942)","('kitchen', 0.014608047176748426)","('term', 0.014587805066926559)","('renting', 0.01436181839083167)","('city', 0.014328053486195006)"
1,"('job', 0.04492012566994683)","('position', 0.021229982235627713)","('company', 0.01935859747540597)","('customer', 0.018914498211181446)","('hiring', 0.01850837772571205)","('marketing', 0.018389047530756684)","('team', 0.017686315608643245)","('speaker', 0.016374626368183296)","('field', 0.01620583756145594)","('experience', 0.015986876903728988)"
2,"('ukraine', 0.05404302929750843)","('ukrainian', 0.04210339738044479)","('war', 0.031971025868450215)","('refugee', 0.030518816406025356)","('support', 0.02324818814195304)","('russian', 0.022444660617879548)","('russia', 0.021501061456693008)","('putin', 0.016110411810551735)","('border', 0.016016976264576124)","('poland', 0.013254692862934982)"
3,"('visa', 0.06546318819847202)","('residence', 0.06485182901196579)","('permit', 0.06268098003634134)","('apply', 0.030316117186707358)","('process', 0.023817061257861552)","('temporary', 0.023530840730901986)","('passport', 0.023249874942353123)","('lawyer', 0.022952065721525736)","('document', 0.02245074243859048)","('citizen', 0.022270280691905134)"
4,"('dog', 0.1023209613811049)","('cat', 0.06756851733902708)","('pet', 0.058100629748183294)","('animal', 0.0265727594725703)","('vet', 0.02267742756171272)","('sitter', 0.021552932995811708)","('shelter', 0.019339125948096343)","('owner', 0.017124854727118655)","('cargo', 0.013802928397676184)","('relocation', 0.01302785430920743)"
5,"('preppers', 0.5391157832370985)","('heeeeelp', 0.5391157832370985)","('hahaha', 0.48586628862682246)","('generously', 0.48586628862682246)","('hoy', 0.45474612143377846)","('wow', 0.4155905678363292)","('hurry', 0.3898465635196319)","('ya', 0.3626172762230903)","('meme', 0.34264209971180826)","('finally', 0.2415255859636729)"
6,"('music', 0.0696622698078814)","('song', 0.05416467866160322)","('sing', 0.029900092003915853)","('sound', 0.028647919001088727)","('musician', 0.028256766515831186)","('live', 0.022886312911847378)","('play', 0.018545158926794186)","('karaoke', 0.0179216606652482)","('instrument', 0.016856694280281886)","('jazz', 0.016292418786589272)"
7,"('language', 0.05591038362404303)","('teacher', 0.04971999784804283)","('tutor', 0.035762828820401986)","('learning', 0.03506173770916986)","('lesson', 0.03415470688615932)","('estonian', 0.02911322588146299)","('school', 0.028075709243519716)","('teach', 0.027578679117503276)","('pilate', 0.027229164669580225)","('teaching', 0.026327753601346853)"
8,"('tallinn', 0.06694125274219581)","('drag', 0.042046141737792406)","('minaj', 0.022046288838215328)","('hopneri', 0.022046288838215328)","('keta', 0.022046288838215328)","('tonight', 0.02081714853134758)","('vous', 0.020634204462963768)","('town', 0.01995875214101187)","('marmite', 0.01963322731668578)","('bye', 0.01963322731668578)"
